name,display,description,details,type
lab_platelets_unit,Lab platelets unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_platelets evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",string
lab_platelets_ref,Lab platelets ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_platelets evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes manual, optical, estimated and EDTA clumping-context counts. External Platelets 1230000011 and Platelet Na Cit 1230011880 were suggested but have not been added.",string
lab_total_bilirubin_date,Lab total bilirubin date,Observation effective timestamp,"Source: lab_effectivedate; table: pcx__cohort_variable_wide_lab. Populated for matching lab_total_bilirubin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Dashboard type string preserves timestamp precision; day is not asserted. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",string
lab_total_bilirubin_interpretation,Lab total bilirubin interpretation,Laboratory-supplied interpretation code,"Source: lab_interpretation_code; table: pcx__cohort_variable_wide_lab. Populated for matching lab_total_bilirubin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",string
lab_total_bilirubin_value,Lab total bilirubin value,Raw numeric laboratory quantity,"Source: lab_valuequantity_value; table: pcx__cohort_variable_wide_lab. Populated for matching lab_total_bilirubin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Interpret with unit and comparator; no unit conversion is applied. Qualitative/narrative observations may have no numeric quantity. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",float
lab_total_bilirubin_unit,Lab total bilirubin unit,Source laboratory unit display,"Source: lab_valuequantity_unit; table: pcx__cohort_variable_wide_lab. Populated for matching lab_total_bilirubin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",string
lab_total_bilirubin_ref,Lab total bilirubin ref,Observation reference,"Source: observation_ref; table: pcx__cohort_variable_wide_lab. Populated for matching lab_total_bilirubin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Single LOINC; coverage not comprehensively audited. Do not substitute direct or indirect bilirubin.",string
dx_atrt_onset,Dx atrt onset,Condition onset date,"Source: dx_onset_date; table: pcx__cohort_variable_wide_dx. Populated for matching dx_atrt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",day
dx_atrt_category,Dx atrt category,Condition category code,"Source: dx_category_code; table: pcx__cohort_variable_wide_dx. Populated for matching dx_atrt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_atrt_status,Dx atrt status,Condition clinical status,"Source: dx_clinical_status; table: pcx__cohort_variable_wide_dx. Populated for matching dx_atrt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_atrt_ref,Dx atrt ref,Condition reference,"Source: condition_ref; table: pcx__cohort_variable_wide_dx. Populated for matching dx_atrt evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_brain_cancer_onset,Dx brain cancer onset,Condition onset date,"Source: dx_onset_date; table: pcx__cohort_variable_wide_dx. Populated for matching dx_brain_cancer evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",day
dx_brain_cancer_category,Dx brain cancer category,Condition category code,"Source: dx_category_code; table: pcx__cohort_variable_wide_dx. Populated for matching dx_brain_cancer evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_brain_cancer_status,Dx brain cancer status,Condition clinical status,"Source: dx_clinical_status; table: pcx__cohort_variable_wide_dx. Populated for matching dx_brain_cancer evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_brain_cancer_ref,Dx brain cancer ref,Condition reference,"Source: condition_ref; table: pcx__cohort_variable_wide_dx. Populated for matching dx_brain_cancer evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_medulloblastoma_onset,Dx medulloblastoma onset,Condition onset date,"Source: dx_onset_date; table: pcx__cohort_variable_wide_dx. Populated for matching dx_medulloblastoma evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",day
dx_medulloblastoma_category,Dx medulloblastoma category,Condition category code,"Source: dx_category_code; table: pcx__cohort_variable_wide_dx. Populated for matching dx_medulloblastoma evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_medulloblastoma_status,Dx medulloblastoma status,Condition clinical status,"Source: dx_clinical_status; table: pcx__cohort_variable_wide_dx. Populated for matching dx_medulloblastoma evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
dx_medulloblastoma_ref,Dx medulloblastoma ref,Condition reference,"Source: condition_ref; table: pcx__cohort_variable_wide_dx. Populated for matching dx_medulloblastoma evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Includes tiered codes; broad brain-cancer codes do not independently establish histologic subtype. Candidate-labeled entries require terminology review.",string
rx_agent_carboplatin_date,Rx agent carboplatin date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_carboplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_carboplatin_status,Rx agent carboplatin status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_carboplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_carboplatin_category,Rx agent carboplatin category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_carboplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_carboplatin_ref,Rx agent carboplatin ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_carboplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cisplatin_date,Rx agent cisplatin date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cisplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_cisplatin_status,Rx agent cisplatin status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cisplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cisplatin_category,Rx agent cisplatin category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cisplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cisplatin_ref,Rx agent cisplatin ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cisplatin evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cyclophosphamide_date,Rx agent cyclophosphamide date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cyclophosphamide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_cyclophosphamide_status,Rx agent cyclophosphamide status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cyclophosphamide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cyclophosphamide_category,Rx agent cyclophosphamide category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cyclophosphamide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_cyclophosphamide_ref,Rx agent cyclophosphamide ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_cyclophosphamide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_etoposide_date,Rx agent etoposide date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_etoposide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_etoposide_status,Rx agent etoposide status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_etoposide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_etoposide_category,Rx agent etoposide category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_etoposide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_etoposide_ref,Rx agent etoposide ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_etoposide evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_methotrexate_date,Rx agent methotrexate date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_methotrexate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_methotrexate_status,Rx agent methotrexate status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_methotrexate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_methotrexate_category,Rx agent methotrexate category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_methotrexate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_methotrexate_ref,Rx agent methotrexate ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_methotrexate evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_thiotepa_date,Rx agent thiotepa date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_thiotepa evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_thiotepa_status,Rx agent thiotepa status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_thiotepa evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_thiotepa_category,Rx agent thiotepa category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_thiotepa evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_thiotepa_ref,Rx agent thiotepa ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_thiotepa evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_vincristine_date,Rx agent vincristine date,MedicationRequest authored date,"Source: rx_authoredon_date; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_vincristine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",day
rx_agent_vincristine_status,Rx agent vincristine status,MedicationRequest status,"Source: rx_status; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_vincristine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_vincristine_category,Rx agent vincristine category,MedicationRequest category code,"Source: rx_category_code; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_vincristine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
rx_agent_vincristine_ref,Rx agent vincristine ref,MedicationRequest reference,"Source: medicationrequest_ref; table: pcx__cohort_variable_wide_rx. Populated for matching rx_agent_vincristine evidence, otherwise NULL. Distinct evidence rows are retained; no first/latest/min/max policy is applied. Order evidence does not prove administration or dose. Ingredient and product candidates as listed in source; completeness and current terminology status not audited. A prescription/order is not proof of administration, route, high-dose exposure or treatment completion.",string
lab_observation_code,Lab observation code,Laboratory test code.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_observation_system,Lab observation system,Laboratory test coding system.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_observation_display,Lab observation display,LOINC consumer-name display when available; local codes may have no hydrated display.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_concept_code,Lab concept code,Coded laboratory result value.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_concept_display,Lab concept display,Coded laboratory result display.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_concept_system,Lab concept system,Coded laboratory result system.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_effectivedate,Lab effectivedate,Observation effective timestamp.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_effectivedate_day,Lab effectivedate day,Observation effective date at day precision.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,day
lab_interpretation_code,Lab interpretation code,Laboratory-supplied interpretation code.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_interpretation_system,Lab interpretation system,Laboratory interpretation coding system.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_interpretation_display,Lab interpretation display,Laboratory interpretation display.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_valuequantity_value,Lab valuequantity value,Raw numeric laboratory result.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,float
lab_valuequantity_comparator,Lab valuequantity comparator,"Numeric comparator, such as less than or greater than.",From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_valuequantity_unit,Lab valuequantity unit,Source unit display.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_valuequantity_system,Lab valuequantity system,Source unit coding system.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_valuequantity_code,Lab valuequantity code,Source unit code.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_valuestring,Lab valuestring,Text laboratory result.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_dataabsentreason,Lab dataabsentreason,Source reason for an absent result.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
lab_status,Lab status,Observation status.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
specimen_ref,Specimen ref,Specimen reference.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
observation_ref,Observation ref,Observation reference.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,string
obs_has_encounter,Obs has encounter,Indicator that the observation has a retained study-population encounter.,From the laboratory base/linkage SQL. Preserve original result and specimen context; absence does not mean normal.,integer
condition_ref,Condition ref,Condition reference.,,string
medicationrequest_ref,Medicationrequest ref,MedicationRequest reference.,,string
